
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Total, Cluj, Anul 2011, Numar persoane, 714380
Total, Total, Total, Cluj, Anul 2012, Numar persoane, 715765
Total, Total, Total, Cluj, Anul 2013, Numar persoane, 716935
Total, Total, Total, Cluj, Anul 2014, Numar persoane, 718404
Total, Total, Total, Cluj, Anul 2015, Numar persoane, 720763
Total, Total, Total, Cluj, Anul 2016, Numar persoane, 722438
Total, Total, Total, Cluj, Anul 2017, Numar persoane, 725549
Total, Total, Total, Maramures, Anul 1992, Numar persoane, 554896
Total, Total, Total, Maramures, Anul 1993, Numar persoane, 553416
Total, Total, Total, Maramures, Anul 1994, Numar persoane, 552567
Total, Total, Total, Maramures, Anul 1995, Numar persoane, 551303
Total, Total, Total, Maramures, Anul 1996, Numar persoane, 549420
Total, Total, Total, Maramures, Anul 1997, Numar persoane, 547886
Total, Total, Total, Maramures, Anul 1998, Numar persoane, 546491
Total, Total, Total, Maramures, Anul 1999, Numar persoane, 545277
Total, Total, Total, Maramures, Anul 2000, Numar persoane, 544251
Total, Total, Total, Maramures, Anul 2001, Numar persoane, 542974
Total, Total, Total, Maramures, Anul 2002, Numar persoane, 541916
Total, Total, Total, Maramures, Anul 2003, Numar persoane, 540236
Total, Total, Total, Maramures, Anul 2004, Numar persoane, 539407
Total, Total, Total, Maramures, Anul 2005, Numar persoane, 538385
Total, Total, Total, Maramures, Anul 2006, Numar persoane, 537986
Total, Total, Total, Maramures, Anul 2007, Numar persoane, 536890
Total, Total, Total, Maramures, Anul 2008, Numar persoane, 535747
Total, Total, Total, Maramures, Anul 2009, Numar persoane, 535068
Total, Total, Total, Maramures, Anul 2010, Numar persoane, 534365
Total, Total, Total, Maramures, Anul 2011, Numar persoane, 532852
Total, Total, Total, Maramures, Anul 2012, Numar persoane, 531949
Total, Total, Total, Maramures, Anul 2013, Numar persoane, 530239
Total, Total, Total, Maramures, Anul 2014, Numar persoane, 528768
Total, Total, Total, Maramures, Anul 2015, Numar persoane, 527578
Total, Total, Total, Maramures, Anul 2016, Numar persoane, 526197
Total, Total, Total, Maramures, Anul 2017, Numar persoane, 524848
Total, Total, Total, Satu Mare, Anul 1992, Numar persoane, 415244
Total, Total, Total, Satu Mare, Anul 1993, Numar persoane, 413381
Total, Total, Total, Satu Mare, Anul 1994, Numar persoane, 412056
Total, Total, Total, Satu Mare, Anul 1995, Numar persoane, 410185
Total, Total, Total, Satu Mare, Anul 1996, Numar persoane, 408195
Total, Total, Total, Satu Mare, Anul 1997, Numar persoane, 406420
Total, Total, Total, Satu Mare, Anul 1998, Numar persoane, 405122
Total, Total, Total, Satu Mare, Anul 1999, Numar persoane, 404438
Total, Total, Total, Satu Mare, Anul 2000, Numar persoane, 403682
Total, Total, Total, Satu Mare, Anul 2001, Numar persoane, 402916
Total, Total, Total, Satu Mare, Anul 2002, Numar persoane, 401905
Total, Total, Total, Satu Mare, Anul 2003, Numar persoane, 401376
Total, Total, Total, Satu Mare, Anul 2004, Numar persoane, 400169
Total, Total, Total, Satu Mare, Anul 2005, Numar persoane, 398909
Total, Total, Total, Satu Mare, Anul 2006, Numar persoane, 397857
Total, Total, Total, Satu Mare, Anul 2007, Numar persoane, 396796
Total, Total, Total, Satu Mare, Anul 2008, Numar persoane, 396470
Total, Total, Total, Satu Mare, Anul 2009, Numar persoane, 396273
