
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Total, MACROREGIUNEA TREI, Anul 1993, Numar persoane, 6035435
Total, Total, Total, MACROREGIUNEA TREI, Anul 1994, Numar persoane, 6027594
Total, Total, Total, MACROREGIUNEA TREI, Anul 1995, Numar persoane, 6015381
Total, Total, Total, MACROREGIUNEA TREI, Anul 1996, Numar persoane, 5995139
Total, Total, Total, MACROREGIUNEA TREI, Anul 1997, Numar persoane, 5968090
Total, Total, Total, MACROREGIUNEA TREI, Anul 1998, Numar persoane, 5947631
Total, Total, Total, MACROREGIUNEA TREI, Anul 1999, Numar persoane, 5931591
Total, Total, Total, MACROREGIUNEA TREI, Anul 2000, Numar persoane, 5918774
Total, Total, Total, MACROREGIUNEA TREI, Anul 2001, Numar persoane, 5909142
Total, Total, Total, MACROREGIUNEA TREI, Anul 2002, Numar persoane, 5896632
Total, Total, Total, MACROREGIUNEA TREI, Anul 2003, Numar persoane, 5881600
Total, Total, Total, MACROREGIUNEA TREI, Anul 2004, Numar persoane, 5869454
Total, Total, Total, MACROREGIUNEA TREI, Anul 2005, Numar persoane, 5860866
Total, Total, Total, MACROREGIUNEA TREI, Anul 2006, Numar persoane, 5851711
Total, Total, Total, MACROREGIUNEA TREI, Anul 2007, Numar persoane, 5850482
Total, Total, Total, MACROREGIUNEA TREI, Anul 2008, Numar persoane, 5849432
Total, Total, Total, MACROREGIUNEA TREI, Anul 2009, Numar persoane, 5849151
Total, Total, Total, MACROREGIUNEA TREI, Anul 2010, Numar persoane, 5847421
Total, Total, Total, MACROREGIUNEA TREI, Anul 2011, Numar persoane, 5845757
Total, Total, Total, MACROREGIUNEA TREI, Anul 2012, Numar persoane, 5836214
Total, Total, Total, MACROREGIUNEA TREI, Anul 2013, Numar persoane, 5820666
Total, Total, Total, MACROREGIUNEA TREI, Anul 2014, Numar persoane, 5799618
Total, Total, Total, MACROREGIUNEA TREI, Anul 2015, Numar persoane, 5771916
Total, Total, Total, MACROREGIUNEA TREI, Anul 2016, Numar persoane, 5761165
Total, Total, Total, MACROREGIUNEA TREI, Anul 2017, Numar persoane, 5752262
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 1992, Numar persoane, 3574993
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 1993, Numar persoane, 3564093
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 1994, Numar persoane, 3554787
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 3545189
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 3532975
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 3517059
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 3505220
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 3495243
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 3486626
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 3480781
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 3466567
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 3452243
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 3437012
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 3424467
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 3412361
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 3399810
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 3390514
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 3380573
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 3368707
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 3353951
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 3337516
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 3320102
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2014, Numar persoane, 3300634
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2015, Numar persoane, 3283591
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2016, Numar persoane, 3262847
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2017, Numar persoane, 3241845
Total, Total, Total, Arges, Anul 1992, Numar persoane, 680670
Total, Total, Total, Arges, Anul 1993, Numar persoane, 681456
Total, Total, Total, Arges, Anul 1994, Numar persoane, 682034
Total, Total, Total, Arges, Anul 1995, Numar persoane, 682033
Total, Total, Total, Arges, Anul 1996, Numar persoane, 680729
Total, Total, Total, Arges, Anul 1997, Numar persoane, 679127
Total, Total, Total, Arges, Anul 1998, Numar persoane, 677710
Total, Total, Total, Arges, Anul 1999, Numar persoane, 676390
Total, Total, Total, Arges, Anul 2000, Numar persoane, 675583
Total, Total, Total, Arges, Anul 2001, Numar persoane, 674530
Total, Total, Total, Arges, Anul 2002, Numar persoane, 672538
Total, Total, Total, Arges, Anul 2003, Numar persoane, 670067
Total, Total, Total, Arges, Anul 2004, Numar persoane, 668567
Total, Total, Total, Arges, Anul 2005, Numar persoane, 666747
Total, Total, Total, Arges, Anul 2006, Numar persoane, 665394
Total, Total, Total, Arges, Anul 2007, Numar persoane, 664403
Total, Total, Total, Arges, Anul 2008, Numar persoane, 665041
Total, Total, Total, Arges, Anul 2009, Numar persoane, 664279
Total, Total, Total, Arges, Anul 2010, Numar persoane, 662359
Total, Total, Total, Arges, Anul 2011, Numar persoane, 660054
Total, Total, Total, Arges, Anul 2012, Numar persoane, 657426
Total, Total, Total, Arges, Anul 2013, Numar persoane, 654670
Total, Total, Total, Arges, Anul 2014, Numar persoane, 651930
Total, Total, Total, Arges, Anul 2015, Numar persoane, 649318
Total, Total, Total, Arges, Anul 2016, Numar persoane, 646530
Total, Total, Total, Arges, Anul 2017, Numar persoane, 643524
Total, Total, Total, Calarasi, Anul 1992, Numar persoane, 343998
Total, Total, Total, Calarasi, Anul 1993, Numar persoane, 342808
Total, Total, Total, Calarasi, Anul 1994, Numar persoane, 341756
Total, Total, Total, Calarasi, Anul 1995, Numar persoane, 340400
Total, Total, Total, Calarasi, Anul 1996, Numar persoane, 339212
Total, Total, Total, Calarasi, Anul 1997, Numar persoane, 337801
Total, Total, Total, Calarasi, Anul 1998, Numar persoane, 336834
Total, Total, Total, Calarasi, Anul 1999, Numar persoane, 336271
Total, Total, Total, Calarasi, Anul 2000, Numar persoane, 336346
Total, Total, Total, Calarasi, Anul 2001, Numar persoane, 336509
Total, Total, Total, Calarasi, Anul 2002, Numar persoane, 334478
Total, Total, Total, Calarasi, Anul 2003, Numar persoane, 333927
Total, Total, Total, Calarasi, Anul 2004, Numar persoane, 333063
Total, Total, Total, Calarasi, Anul 2005, Numar persoane, 332012
Total, Total, Total, Calarasi, Anul 2006, Numar persoane, 331283
Total, Total, Total, Calarasi, Anul 2007, Numar persoane, 330242
Total, Total, Total, Calarasi, Anul 2008, Numar persoane, 329329
Total, Total, Total, Calarasi, Anul 2009, Numar persoane, 328779
Total, Total, Total, Calarasi, Anul 2010, Numar persoane, 327904
Total, Total, Total, Calarasi, Anul 2011, Numar persoane, 326475
Total, Total, Total, Calarasi, Anul 2012, Numar persoane, 324825
Total, Total, Total, Calarasi, Anul 2013, Numar persoane, 323409
Total, Total, Total, Calarasi, Anul 2014, Numar persoane, 321429
Total, Total, Total, Calarasi, Anul 2015, Numar persoane, 319793
Total, Total, Total, Calarasi, Anul 2016, Numar persoane, 317592
Total, Total, Total, Calarasi, Anul 2017, Numar persoane, 315613
Total, Total, Total, Dambovita, Anul 1992, Numar persoane, 556176
Total, Total, Total, Dambovita, Anul 1993, Numar persoane, 555251
Total, Total, Total, Dambovita, Anul 1994, Numar persoane, 554438
Total, Total, Total, Dambovita, Anul 1995, Numar persoane, 553760
Total, Total, Total, Dambovita, Anul 1996, Numar persoane, 552443
Total, Total, Total, Dambovita, Anul 1997, Numar persoane, 550739
Total, Total, Total, Dambovita, Anul 1998, Numar persoane, 549800
Total, Total, Total, Dambovita, Anul 1999, Numar persoane, 549038
Total, Total, Total, Dambovita, Anul 2000, Numar persoane, 548237
Total, Total, Total, Dambovita, Anul 2001, Numar persoane, 547866
Total, Total, Total, Dambovita, Anul 2002, Numar persoane, 547034
Total, Total, Total, Dambovita, Anul 2003, Numar persoane, 545464
Total, Total, Total, Dambovita, Anul 2004, Numar persoane, 543796
Total, Total, Total, Dambovita, Anul 2005, Numar persoane, 543001
Total, Total, Total, Dambovita, Anul 2006, Numar persoane, 541634
Total, Total, Total, Dambovita, Anul 2007, Numar persoane, 540137
Total, Total, Total, Dambovita, Anul 2008, Numar persoane, 538712
Total, Total, Total, Dambovita, Anul 2009, Numar persoane, 538404
Total, Total, Total, Dambovita, Anul 2010, Numar persoane, 537994
Total, Total, Total, Dambovita, Anul 2011, Numar persoane, 537416
Total, Total, Total, Dambovita, Anul 2012, Numar persoane, 536430
Total, Total, Total, Dambovita, Anul 2013, Numar persoane, 535442
Total, Total, Total, Dambovita, Anul 2014, Numar persoane, 533057
Total, Total, Total, Dambovita, Anul 2015, Numar persoane, 531195
Total, Total, Total, Dambovita, Anul 2016, Numar persoane, 528791
Total, Total, Total, Dambovita, Anul 2017, Numar persoane, 526705
Total, Total, Total, Giurgiu, Anul 1992, Numar persoane, 314717
Total, Total, Total, Giurgiu, Anul 1993, Numar persoane, 311638
Total, Total, Total, Giurgiu, Anul 1994, Numar persoane, 308645
Total, Total, Total, Giurgiu, Anul 1995, Numar persoane, 306333
Total, Total, Total, Giurgiu, Anul 1996, Numar persoane, 303894
Total, Total, Total, Giurgiu, Anul 1997, Numar persoane, 301712
Total, Total, Total, Giurgiu, Anul 1998, Numar persoane, 300091
Total, Total, Total, Giurgiu, Anul 1999, Numar persoane, 298524
Total, Total, Total, Giurgiu, Anul 2000, Numar persoane, 297157
Total, Total, Total, Giurgiu, Anul 2001, Numar persoane, 296424
Total, Total, Total, Giurgiu, Anul 2002, Numar persoane, 294894
Total, Total, Total, Giurgiu, Anul 2003, Numar persoane, 293382
Total, Total, Total, Giurgiu, Anul 2004, Numar persoane, 291391
Total, Total, Total, Giurgiu, Anul 2005, Numar persoane, 290059
Total, Total, Total, Giurgiu, Anul 2006, Numar persoane, 288515
Total, Total, Total, Giurgiu, Anul 2007, Numar persoane, 287259
Total, Total, Total, Giurgiu, Anul 2008, Numar persoane, 286040
Total, Total, Total, Giurgiu, Anul 2009, Numar persoane, 285491
Total, Total, Total, Giurgiu, Anul 2010, Numar persoane, 284198
Total, Total, Total, Giurgiu, Anul 2011, Numar persoane, 283254
Total, Total, Total, Giurgiu, Anul 2012, Numar persoane, 282156
Total, Total, Total, Giurgiu, Anul 2013, Numar persoane, 281079
Total, Total, Total, Giurgiu, Anul 2014, Numar persoane, 279393
Total, Total, Total, Giurgiu, Anul 2015, Numar persoane, 278167
Total, Total, Total, Giurgiu, Anul 2016, Numar persoane, 276930
Total, Total, Total, Giurgiu, Anul 2017, Numar persoane, 275706
Total, Total, Total, Ialomita, Anul 1992, Numar persoane, 312062
Total, Total, Total, Ialomita, Anul 1993, Numar persoane, 310899
Total, Total, Total, Ialomita, Anul 1994, Numar persoane, 310514
Total, Total, Total, Ialomita, Anul 1995, Numar persoane, 310585
Total, Total, Total, Ialomita, Anul 1996, Numar persoane, 310683
Total, Total, Total, Ialomita, Anul 1997, Numar persoane, 309893
Total, Total, Total, Ialomita, Anul 1998, Numar persoane, 309814
Total, Total, Total, Ialomita, Anul 1999, Numar persoane, 309865
Total, Total, Total, Ialomita, Anul 2000, Numar persoane, 309984
Total, Total, Total, Ialomita, Anul 2001, Numar persoane, 310060
Total, Total, Total, Ialomita, Anul 2002, Numar persoane, 309145
Total, Total, Total, Ialomita, Anul 2003, Numar persoane, 308953
Total, Total, Total, Ialomita, Anul 2004, Numar persoane, 308062
Total, Total, Total, Ialomita, Anul 2005, Numar persoane, 307480
Total, Total, Total, Ialomita, Anul 2006, Numar persoane, 306870
Total, Total, Total, Ialomita, Anul 2007, Numar persoane, 306077
Total, Total, Total, Ialomita, Anul 2008, Numar persoane, 305343
Total, Total, Total, Ialomita, Anul 2009, Numar persoane, 304288
Total, Total, Total, Ialomita, Anul 2010, Numar persoane, 303532
Total, Total, Total, Ialomita, Anul 2011, Numar persoane, 302177
Total, Total, Total, Ialomita, Anul 2012, Numar persoane, 300799
Total, Total, Total, Ialomita, Anul 2013, Numar persoane, 299163
Total, Total, Total, Ialomita, Anul 2014, Numar persoane, 297343
Total, Total, Total, Ialomita, Anul 2015, Numar persoane, 295916
Total, Total, Total, Ialomita, Anul 2016, Numar persoane, 293940
Total, Total, Total, Ialomita, Anul 2017, Numar persoane, 291863
Total, Total, Total, Prahova, Anul 1992, Numar persoane, 873668
Total, Total, Total, Prahova, Anul 1993, Numar persoane, 872601
Total, Total, Total, Prahova, Anul 1994, Numar persoane, 871555
Total, Total, Total, Prahova, Anul 1995, Numar persoane, 870043
Total, Total, Total, Prahova, Anul 1996, Numar persoane, 867246
Total, Total, Total, Prahova, Anul 1997, Numar persoane, 863891
Total, Total, Total, Prahova, Anul 1998, Numar persoane, 860721
Total, Total, Total, Prahova, Anul 1999, Numar persoane, 858260
Total, Total, Total, Prahova, Anul 2000, Numar persoane, 855931
Total, Total, Total, Prahova, Anul 2001, Numar persoane, 854759
Total, Total, Total, Prahova, Anul 2002, Numar persoane, 852336
Total, Total, Total, Prahova, Anul 2003, Numar persoane, 849232
Total, Total, Total, Prahova, Anul 2004, Numar persoane, 846132
Total, Total, Total, Prahova, Anul 2005, Numar persoane, 843968
Total, Total, Total, Prahova, Anul 2006, Numar persoane, 842300
Total, Total, Total, Prahova, Anul 2007, Numar persoane, 840017
Total, Total, Total, Prahova, Anul 2008, Numar persoane, 838485
Total, Total, Total, Prahova, Anul 2009, Numar persoane, 836146
Total, Total, Total, Prahova, Anul 2010, Numar persoane, 833823
Total, Total, Total, Prahova, Anul 2011, Numar persoane, 830370
Total, Total, Total, Prahova, Anul 2012, Numar persoane, 826511
Total, Total, Total, Prahova, Anul 2013, Numar persoane, 821879
Total, Total, Total, Prahova, Anul 2014, Numar persoane, 817954
Total, Total, Total, Prahova, Anul 2015, Numar persoane, 814226
Total, Total, Total, Prahova, Anul 2016, Numar persoane, 809394
Total, Total, Total, Prahova, Anul 2017, Numar persoane, 804158
Total, Total, Total, Teleorman, Anul 1992, Numar persoane, 493702
Total, Total, Total, Teleorman, Anul 1993, Numar persoane, 489440
Total, Total, Total, Teleorman, Anul 1994, Numar persoane, 485845
Total, Total, Total, Teleorman, Anul 1995, Numar persoane, 482035
Total, Total, Total, Teleorman, Anul 1996, Numar persoane, 478768
Total, Total, Total, Teleorman, Anul 1997, Numar persoane, 473896
Total, Total, Total, Teleorman, Anul 1998, Numar persoane, 470250
Total, Total, Total, Teleorman, Anul 1999, Numar persoane, 466895
Total, Total, Total, Teleorman, Anul 2000, Numar persoane, 463388
Total, Total, Total, Teleorman, Anul 2001, Numar persoane, 460633
Total, Total, Total, Teleorman, Anul 2002, Numar persoane, 456142
Total, Total, Total, Teleorman, Anul 2003, Numar persoane, 451218
Total, Total, Total, Teleorman, Anul 2004, Numar persoane, 446001
Total, Total, Total, Teleorman, Anul 2005, Numar persoane, 441200
Total, Total, Total, Teleorman, Anul 2006, Numar persoane, 436365
Total, Total, Total, Teleorman, Anul 2007, Numar persoane, 431675
Total, Total, Total, Teleorman, Anul 2008, Numar persoane, 427564
Total, Total, Total, Teleorman, Anul 2009, Numar persoane, 423186
Total, Total, Total, Teleorman, Anul 2010, Numar persoane, 418897
Total, Total, Total, Teleorman, Anul 2011, Numar persoane, 414205
Total, Total, Total, Teleorman, Anul 2012, Numar persoane, 409369
Total, Total, Total, Teleorman, Anul 2013, Numar persoane, 404460
Total, Total, Total, Teleorman, Anul 2014, Numar persoane, 399528
Total, Total, Total, Teleorman, Anul 2015, Numar persoane, 394976
Total, Total, Total, Teleorman, Anul 2016, Numar persoane, 389670
Total, Total, Total, Teleorman, Anul 2017, Numar persoane, 384276
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1992, Numar persoane, 2466040
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1993, Numar persoane, 2471342
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1994, Numar persoane, 2472807
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1995, Numar persoane, 2470192
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1996, Numar persoane, 2462164
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1997, Numar persoane, 2451031
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1998, Numar persoane, 2442411
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1999, Numar persoane, 2436348
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2000, Numar persoane, 2432148
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2001, Numar persoane, 2428361
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2002, Numar persoane, 2430065
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2003, Numar persoane, 2429357
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2004, Numar persoane, 2432442
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2005, Numar persoane, 2436399
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2006, Numar persoane, 2439350
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2007, Numar persoane, 2450672
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Numar persoane, 2458918
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2009, Numar persoane, 2468578
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2010, Numar persoane, 2478714
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2011, Numar persoane, 2491806
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2012, Numar persoane, 2498698
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2013, Numar persoane, 2500564
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2014, Numar persoane, 2498984
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2015, Numar persoane, 2488325
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2016, Numar persoane, 2498318
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2017, Numar persoane, 2510417
Total, Total, Total, Ilfov, Anul 1992, Numar persoane, 277579
Total, Total, Total, Ilfov, Anul 1993, Numar persoane, 277934
Total, Total, Total, Ilfov, Anul 1994, Numar persoane, 278144
Total, Total, Total, Ilfov, Anul 1995, Numar persoane, 279243
Total, Total, Total, Ilfov, Anul 1996, Numar persoane, 278415
Total, Total, Total, Ilfov, Anul 1997, Numar persoane, 277525
Total, Total, Total, Ilfov, Anul 1998, Numar persoane, 277825
Total, Total, Total, Ilfov, Anul 1999, Numar persoane, 277879
Total, Total, Total, Ilfov, Anul 2000, Numar persoane, 277744
Total, Total, Total, Ilfov, Anul 2001, Numar persoane, 278871
Total, Total, Total, Ilfov, Anul 2002, Numar persoane, 278301
Total, Total, Total, Ilfov, Anul 2003, Numar persoane, 277268
Total, Total, Total, Ilfov, Anul 2004, Numar persoane, 279250
Total, Total, Total, Ilfov, Anul 2005, Numar persoane, 283509
Total, Total, Total, Ilfov, Anul 2006, Numar persoane, 286711
Total, Total, Total, Ilfov, Anul 2007, Numar persoane, 292087
Total, Total, Total, Ilfov, Anul 2008, Numar persoane, 298047
Total, Total, Total, Ilfov, Anul 2009, Numar persoane, 307938
Total, Total, Total, Ilfov, Anul 2010, Numar persoane, 316808
Total, Total, Total, Ilfov, Anul 2011, Numar persoane, 329932
Total, Total, Total, Ilfov, Anul 2012, Numar persoane, 339940
Total, Total, Total, Ilfov, Anul 2013, Numar persoane, 352466
Total, Total, Total, Ilfov, Anul 2014, Numar persoane, 364954
Total, Total, Total, Ilfov, Anul 2015, Numar persoane, 376691
Total, Total, Total, Ilfov, Anul 2016, Numar persoane, 390919
Total, Total, Total, Ilfov, Anul 2017, Numar persoane, 407505
Total, Total, Total, Municipiul Bucuresti, Anul 1992, Numar persoane, 2188461
Total, Total, Total, Municipiul Bucuresti, Anul 1993, Numar persoane, 2193408
Total, Total, Total, Municipiul Bucuresti, Anul 1994, Numar persoane, 2194663
Total, Total, Total, Municipiul Bucuresti, Anul 1995, Numar persoane, 2190949
Total, Total, Total, Municipiul Bucuresti, Anul 1996, Numar persoane, 2183749
Total, Total, Total, Municipiul Bucuresti, Anul 1997, Numar persoane, 2173506
Total, Total, Total, Municipiul Bucuresti, Anul 1998, Numar persoane, 2164586
Total, Total, Total, Municipiul Bucuresti, Anul 1999, Numar persoane, 2158469
Total, Total, Total, Municipiul Bucuresti, Anul 2000, Numar persoane, 2154404
Total, Total, Total, Municipiul Bucuresti, Anul 2001, Numar persoane, 2149490
Total, Total, Total, Municipiul Bucuresti, Anul 2002, Numar persoane, 2151764
Total, Total, Total, Municipiul Bucuresti, Anul 2003, Numar persoane, 2152089
Total, Total, Total, Municipiul Bucuresti, Anul 2004, Numar persoane, 2153192
Total, Total, Total, Municipiul Bucuresti, Anul 2005, Numar persoane, 2152890
Total, Total, Total, Municipiul Bucuresti, Anul 2006, Numar persoane, 2152639
Total, Total, Total, Municipiul Bucuresti, Anul 2007, Numar persoane, 2158585
Total, Total, Total, Municipiul Bucuresti, Anul 2008, Numar persoane, 2160871
Total, Total, Total, Municipiul Bucuresti, Anul 2009, Numar persoane, 2160640
Total, Total, Total, Municipiul Bucuresti, Anul 2010, Numar persoane, 2161906
Total, Total, Total, Municipiul Bucuresti, Anul 2011, Numar persoane, 2161874
Total, Total, Total, Municipiul Bucuresti, Anul 2012, Numar persoane, 2158758
Total, Total, Total, Municipiul Bucuresti, Anul 2013, Numar persoane, 2148098
Total, Total, Total, Municipiul Bucuresti, Anul 2014, Numar persoane, 2134030
Total, Total, Total, Municipiul Bucuresti, Anul 2015, Numar persoane, 2111634
Total, Total, Total, Municipiul Bucuresti, Anul 2016, Numar persoane, 2107399
Total, Total, Total, Municipiul Bucuresti, Anul 2017, Numar persoane, 2102912
Total, Total, Total, MACROREGIUNEA PATRU, Anul 1992, Numar persoane, 4567380
Total, Total, Total, MACROREGIUNEA PATRU, Anul 1993, Numar persoane, 4562663
Total, Total, Total, MACROREGIUNEA PATRU, Anul 1994, Numar persoane, 4555324
Total, Total, Total, MACROREGIUNEA PATRU, Anul 1995, Numar persoane, 4546814
Total, Total, Total, MACROREGIUNEA PATRU, Anul 1996, Numar persoane, 4532855
Total, Total, Total, MACROREGIUNEA PATRU, Anul 1997, Numar persoane, 4516878
Total, Total, Total, MACROREGIUNEA PATRU, Anul 1998, Numar persoane, 4499483
Total, Total, Total, MACROREGIUNEA PATRU, Anul 1999, Numar persoane, 4485643
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2000, Numar persoane, 4472693
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2001, Numar persoane, 4463881
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2002, Numar persoane, 4452094
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2003, Numar persoane, 4437200
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2004, Numar persoane, 4422090
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2005, Numar persoane, 4407388
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2006, Numar persoane, 4392487
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2007, Numar persoane, 4377123
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2008, Numar persoane, 4365273
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2009, Numar persoane, 4352145
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2010, Numar persoane, 4337593
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2011, Numar persoane, 4320844
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2012, Numar persoane, 4302423
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2013, Numar persoane, 4283945
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2014, Numar persoane, 4263817
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2015, Numar persoane, 4246763
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2016, Numar persoane, 4224212
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2017, Numar persoane, 4204852
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1992, Numar persoane, 2448573
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1993, Numar persoane, 2442481
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1994, Numar persoane, 2438218
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1995, Numar persoane, 2433584
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar persoane, 2425823
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar persoane, 2416795
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Numar persoane, 2408321
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Numar persoane, 2400988
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Numar persoane, 2394678
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Numar persoane, 2389929
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar persoane, 2381336
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar persoane, 2371028
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar persoane, 2359960
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Numar persoane, 2349901
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Numar persoane, 2339738
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Numar persoane, 2327055
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Numar persoane, 2315536
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Numar persoane, 2303540
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Numar persoane, 2292010
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar persoane, 2277990
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar persoane, 2264978
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar persoane, 2251542
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2014, Numar persoane, 2237651
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2015, Numar persoane, 2224116
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2016, Numar persoane, 2207918
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2017, Numar persoane, 2193472
Total, Total, Total, Dolj, Anul 1992, Numar persoane, 772654
Total, Total, Total, Dolj, Anul 1993, Numar persoane, 770534
Total, Total, Total, Dolj, Anul 1994, Numar persoane, 768867
Total, Total, Total, Dolj, Anul 1995, Numar persoane, 766686
Total, Total, Total, Dolj, Anul 1996, Numar persoane, 763174
Total, Total, Total, Dolj, Anul 1997, Numar persoane, 759344
Total, Total, Total, Dolj, Anul 1998, Numar persoane, 755946
Total, Total, Total, Dolj, Anul 1999, Numar persoane, 753880
Total, Total, Total, Dolj, Anul 2000, Numar persoane, 751817
