
Clasificarea internationala a maladiilor - Revizia a X a 1994, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Boli ale aparatului respirator, Buzau, Anul 2010, Numar persoane, 334
Boli ale aparatului respirator, Buzau, Anul 2011, Numar persoane, 364
Boli ale aparatului respirator, Buzau, Anul 2012, Numar persoane, 345
Boli ale aparatului respirator, Buzau, Anul 2013, Numar persoane, 394
Boli ale aparatului respirator, Buzau, Anul 2014, Numar persoane, 411
Boli ale aparatului respirator, Buzau, Anul 2015, Numar persoane, 469
Boli ale aparatului respirator, Buzau, Anul 2016, Numar persoane, 452
Boli ale aparatului respirator, Constanta, Anul 1990, Numar persoane, 630
Boli ale aparatului respirator, Constanta, Anul 1991, Numar persoane, 549
Boli ale aparatului respirator, Constanta, Anul 1992, Numar persoane, 541
Boli ale aparatului respirator, Constanta, Anul 1993, Numar persoane, 409
Boli ale aparatului respirator, Constanta, Anul 1994, Numar persoane, 420
Boli ale aparatului respirator, Constanta, Anul 1995, Numar persoane, 428
Boli ale aparatului respirator, Constanta, Anul 1996, Numar persoane, 459
Boli ale aparatului respirator, Constanta, Anul 1997, Numar persoane, 479
Boli ale aparatului respirator, Constanta, Anul 1998, Numar persoane, 398
Boli ale aparatului respirator, Constanta, Anul 1999, Numar persoane, 391
Boli ale aparatului respirator, Constanta, Anul 2000, Numar persoane, 434
Boli ale aparatului respirator, Constanta, Anul 2001, Numar persoane, 421
Boli ale aparatului respirator, Constanta, Anul 2002, Numar persoane, 457
Boli ale aparatului respirator, Constanta, Anul 2003, Numar persoane, 417
Boli ale aparatului respirator, Constanta, Anul 2004, Numar persoane, 400
Boli ale aparatului respirator, Constanta, Anul 2005, Numar persoane, 403
Boli ale aparatului respirator, Constanta, Anul 2006, Numar persoane, 405
Boli ale aparatului respirator, Constanta, Anul 2007, Numar persoane, 445
Boli ale aparatului respirator, Constanta, Anul 2008, Numar persoane, 367
Boli ale aparatului respirator, Constanta, Anul 2009, Numar persoane, 381
Boli ale aparatului respirator, Constanta, Anul 2010, Numar persoane, 407
Boli ale aparatului respirator, Constanta, Anul 2011, Numar persoane, 413
Boli ale aparatului respirator, Constanta, Anul 2012, Numar persoane, 395
Boli ale aparatului respirator, Constanta, Anul 2013, Numar persoane, 416
Boli ale aparatului respirator, Constanta, Anul 2014, Numar persoane, 426
Boli ale aparatului respirator, Constanta, Anul 2015, Numar persoane, 479
Boli ale aparatului respirator, Constanta, Anul 2016, Numar persoane, 484
Boli ale aparatului respirator, Galati, Anul 1990, Numar persoane, 634
Boli ale aparatului respirator, Galati, Anul 1991, Numar persoane, 584
Boli ale aparatului respirator, Galati, Anul 1992, Numar persoane, 566
Boli ale aparatului respirator, Galati, Anul 1993, Numar persoane, 535
Boli ale aparatului respirator, Galati, Anul 1994, Numar persoane, 593
Boli ale aparatului respirator, Galati, Anul 1995, Numar persoane, 517
Boli ale aparatului respirator, Galati, Anul 1996, Numar persoane, 571
Boli ale aparatului respirator, Galati, Anul 1997, Numar persoane, 577
Boli ale aparatului respirator, Galati, Anul 1998, Numar persoane, 536
Boli ale aparatului respirator, Galati, Anul 1999, Numar persoane, 505
Boli ale aparatului respirator, Galati, Anul 2000, Numar persoane, 417
Boli ale aparatului respirator, Galati, Anul 2001, Numar persoane, 395
Boli ale aparatului respirator, Galati, Anul 2002, Numar persoane, 445
Boli ale aparatului respirator, Galati, Anul 2003, Numar persoane, 440
Boli ale aparatului respirator, Galati, Anul 2004, Numar persoane, 366
Boli ale aparatului respirator, Galati, Anul 2005, Numar persoane, 339
Boli ale aparatului respirator, Galati, Anul 2006, Numar persoane, 387
Boli ale aparatului respirator, Galati, Anul 2007, Numar persoane, 348
Boli ale aparatului respirator, Galati, Anul 2008, Numar persoane, 334
Boli ale aparatului respirator, Galati, Anul 2009, Numar persoane, 379
Boli ale aparatului respirator, Galati, Anul 2010, Numar persoane, 346
Boli ale aparatului respirator, Galati, Anul 2011, Numar persoane, 312
Boli ale aparatului respirator, Galati, Anul 2012, Numar persoane, 418
Boli ale aparatului respirator, Galati, Anul 2013, Numar persoane, 375
Boli ale aparatului respirator, Galati, Anul 2014, Numar persoane, 428
Boli ale aparatului respirator, Galati, Anul 2015, Numar persoane, 452
Boli ale aparatului respirator, Galati, Anul 2016, Numar persoane, 496
Boli ale aparatului respirator, Tulcea, Anul 1990, Numar persoane, 253
Boli ale aparatului respirator, Tulcea, Anul 1991, Numar persoane, 222
Boli ale aparatului respirator, Tulcea, Anul 1992, Numar persoane, 206
Boli ale aparatului respirator, Tulcea, Anul 1993, Numar persoane, 201
Boli ale aparatului respirator, Tulcea, Anul 1994, Numar persoane, 204
Boli ale aparatului respirator, Tulcea, Anul 1995, Numar persoane, 166
Boli ale aparatului respirator, Tulcea, Anul 1996, Numar persoane, 194
Boli ale aparatului respirator, Tulcea, Anul 1997, Numar persoane, 182
Boli ale aparatului respirator, Tulcea, Anul 1998, Numar persoane, 169
Boli ale aparatului respirator, Tulcea, Anul 1999, Numar persoane, 172
Boli ale aparatului respirator, Tulcea, Anul 2000, Numar persoane, 125
Boli ale aparatului respirator, Tulcea, Anul 2001, Numar persoane, 148
Boli ale aparatului respirator, Tulcea, Anul 2002, Numar persoane, 157
Boli ale aparatului respirator, Tulcea, Anul 2003, Numar persoane, 142
Boli ale aparatului respirator, Tulcea, Anul 2004, Numar persoane, 129
Boli ale aparatului respirator, Tulcea, Anul 2005, Numar persoane, 130
Boli ale aparatului respirator, Tulcea, Anul 2006, Numar persoane, 110
Boli ale aparatului respirator, Tulcea, Anul 2007, Numar persoane, 104
Boli ale aparatului respirator, Tulcea, Anul 2008, Numar persoane, 108
Boli ale aparatului respirator, Tulcea, Anul 2009, Numar persoane, 123
Boli ale aparatului respirator, Tulcea, Anul 2010, Numar persoane, 111
Boli ale aparatului respirator, Tulcea, Anul 2011, Numar persoane, 116
Boli ale aparatului respirator, Tulcea, Anul 2012, Numar persoane, 109
Boli ale aparatului respirator, Tulcea, Anul 2013, Numar persoane, 118
Boli ale aparatului respirator, Tulcea, Anul 2014, Numar persoane, 132
Boli ale aparatului respirator, Tulcea, Anul 2015, Numar persoane, 153
Boli ale aparatului respirator, Tulcea, Anul 2016, Numar persoane, 148
Boli ale aparatului respirator, Vrancea, Anul 1990, Numar persoane, 355
Boli ale aparatului respirator, Vrancea, Anul 1991, Numar persoane, 336
Boli ale aparatului respirator, Vrancea, Anul 1992, Numar persoane, 319
Boli ale aparatului respirator, Vrancea, Anul 1993, Numar persoane, 306
Boli ale aparatului respirator, Vrancea, Anul 1994, Numar persoane, 333
Boli ale aparatului respirator, Vrancea, Anul 1995, Numar persoane, 296
Boli ale aparatului respirator, Vrancea, Anul 1996, Numar persoane, 379
Boli ale aparatului respirator, Vrancea, Anul 1997, Numar persoane, 314
Boli ale aparatului respirator, Vrancea, Anul 1998, Numar persoane, 329
Boli ale aparatului respirator, Vrancea, Anul 1999, Numar persoane, 343
Boli ale aparatului respirator, Vrancea, Anul 2000, Numar persoane, 282
Boli ale aparatului respirator, Vrancea, Anul 2001, Numar persoane, 320
Boli ale aparatului respirator, Vrancea, Anul 2002, Numar persoane, 315
Boli ale aparatului respirator, Vrancea, Anul 2003, Numar persoane, 332
Boli ale aparatului respirator, Vrancea, Anul 2004, Numar persoane, 342
Boli ale aparatului respirator, Vrancea, Anul 2005, Numar persoane, 356
Boli ale aparatului respirator, Vrancea, Anul 2006, Numar persoane, 299
Boli ale aparatului respirator, Vrancea, Anul 2007, Numar persoane, 333
Boli ale aparatului respirator, Vrancea, Anul 2008, Numar persoane, 298
Boli ale aparatului respirator, Vrancea, Anul 2009, Numar persoane, 297
Boli ale aparatului respirator, Vrancea, Anul 2010, Numar persoane, 288
Boli ale aparatului respirator, Vrancea, Anul 2011, Numar persoane, 288
Boli ale aparatului respirator, Vrancea, Anul 2012, Numar persoane, 259
Boli ale aparatului respirator, Vrancea, Anul 2013, Numar persoane, 282
Boli ale aparatului respirator, Vrancea, Anul 2014, Numar persoane, 261
Boli ale aparatului respirator, Vrancea, Anul 2015, Numar persoane, 325
Boli ale aparatului respirator, Vrancea, Anul 2016, Numar persoane, 275
Boli ale aparatului digestiv, TOTAL, Anul 1990, Numar persoane, 11672
Boli ale aparatului digestiv, TOTAL, Anul 1991, Numar persoane, 12011
Boli ale aparatului digestiv, TOTAL, Anul 1992, Numar persoane, 13193
Boli ale aparatului digestiv, TOTAL, Anul 1993, Numar persoane, 14230
Boli ale aparatului digestiv, TOTAL, Anul 1994, Numar persoane, 14906
Boli ale aparatului digestiv, TOTAL, Anul 1995, Numar persoane, 15474
Boli ale aparatului digestiv, TOTAL, Anul 1996, Numar persoane, 16215
Boli ale aparatului digestiv, TOTAL, Anul 1997, Numar persoane, 17031
Boli ale aparatului digestiv, TOTAL, Anul 1998, Numar persoane, 16122
Boli ale aparatului digestiv, TOTAL, Anul 1999, Numar persoane, 14702
Boli ale aparatului digestiv, TOTAL, Anul 2000, Numar persoane, 14349
Boli ale aparatului digestiv, TOTAL, Anul 2001, Numar persoane, 15830
Boli ale aparatului digestiv, TOTAL, Anul 2002, Numar persoane, 16121
Boli ale aparatului digestiv, TOTAL, Anul 2003, Numar persoane, 15532
Boli ale aparatului digestiv, TOTAL, Anul 2004, Numar persoane, 15119
Boli ale aparatului digestiv, TOTAL, Anul 2005, Numar persoane, 14713
Boli ale aparatului digestiv, TOTAL, Anul 2006, Numar persoane, 14205
Boli ale aparatului digestiv, TOTAL, Anul 2007, Numar persoane, 14568
Boli ale aparatului digestiv, TOTAL, Anul 2008, Numar persoane, 15454
Boli ale aparatului digestiv, TOTAL, Anul 2009, Numar persoane, 16457
Boli ale aparatului digestiv, TOTAL, Anul 2010, Numar persoane, 16604
Boli ale aparatului digestiv, TOTAL, Anul 2011, Numar persoane, 14499
Boli ale aparatului digestiv, TOTAL, Anul 2012, Numar persoane, 14471
Boli ale aparatului digestiv, TOTAL, Anul 2013, Numar persoane, 14060
Boli ale aparatului digestiv, TOTAL, Anul 2014, Numar persoane, 14558
Boli ale aparatului digestiv, TOTAL, Anul 2015, Numar persoane, 14382
Boli ale aparatului digestiv, TOTAL, Anul 2016, Numar persoane, 14514
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 1990, Numar persoane, 2479
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 1991, Numar persoane, 2588
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 1992, Numar persoane, 2845
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 1993, Numar persoane, 3278
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 1994, Numar persoane, 3319
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 1995, Numar persoane, 3354
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 1996, Numar persoane, 3373
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 1997, Numar persoane, 3526
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 1998, Numar persoane, 3367
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 1999, Numar persoane, 3044
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 2000, Numar persoane, 3058
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 2001, Numar persoane, 3271
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 2002, Numar persoane, 3497
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 2003, Numar persoane, 3256
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 2004, Numar persoane, 3205
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 2005, Numar persoane, 3111
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 2006, Numar persoane, 3083
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 2007, Numar persoane, 3050
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 2008, Numar persoane, 3247
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 2009, Numar persoane, 3395
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 2010, Numar persoane, 3405
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 2011, Numar persoane, 3057
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 2012, Numar persoane, 2879
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 2013, Numar persoane, 2912
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 2014, Numar persoane, 3017
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 2015, Numar persoane, 3171
Boli ale aparatului digestiv, MACROREGIUNEA UNU, Anul 2016, Numar persoane, 3081
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 1990, Numar persoane, 1460
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 1991, Numar persoane, 1553
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 1992, Numar persoane, 1716
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 1993, Numar persoane, 1977
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 1994, Numar persoane, 2003
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 1995, Numar persoane, 2029
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 1996, Numar persoane, 2024
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 1997, Numar persoane, 2043
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 1998, Numar persoane, 1931
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 1999, Numar persoane, 1709
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 2000, Numar persoane, 1785
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 2001, Numar persoane, 1966
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 2002, Numar persoane, 2060
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 2003, Numar persoane, 1925
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 2004, Numar persoane, 1891
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 2005, Numar persoane, 1811
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 2006, Numar persoane, 1741
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 2007, Numar persoane, 1729
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 2008, Numar persoane, 1773
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 2009, Numar persoane, 1868
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 2010, Numar persoane, 1842
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 2011, Numar persoane, 1713
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 2012, Numar persoane, 1606
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 2013, Numar persoane, 1587
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 2014, Numar persoane, 1680
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 2015, Numar persoane, 1841
Boli ale aparatului digestiv, Regiunea NORD-VEST, Anul 2016, Numar persoane, 1738
Boli ale aparatului digestiv, Bihor, Anul 1990, Numar persoane, 379
Boli ale aparatului digestiv, Bihor, Anul 1991, Numar persoane, 394
Boli ale aparatului digestiv, Bihor, Anul 1992, Numar persoane, 420
Boli ale aparatului digestiv, Bihor, Anul 1993, Numar persoane, 483
Boli ale aparatului digestiv, Bihor, Anul 1994, Numar persoane, 491
Boli ale aparatului digestiv, Bihor, Anul 1995, Numar persoane, 544
Boli ale aparatului digestiv, Bihor, Anul 1996, Numar persoane, 526
Boli ale aparatului digestiv, Bihor, Anul 1997, Numar persoane, 481
Boli ale aparatului digestiv, Bihor, Anul 1998, Numar persoane, 471
Boli ale aparatului digestiv, Bihor, Anul 1999, Numar persoane, 480
Boli ale aparatului digestiv, Bihor, Anul 2000, Numar persoane, 423
Boli ale aparatului digestiv, Bihor, Anul 2001, Numar persoane, 495
Boli ale aparatului digestiv, Bihor, Anul 2002, Numar persoane, 469
Boli ale aparatului digestiv, Bihor, Anul 2003, Numar persoane, 440
Boli ale aparatului digestiv, Bihor, Anul 2004, Numar persoane, 492
Boli ale aparatului digestiv, Bihor, Anul 2005, Numar persoane, 421
Boli ale aparatului digestiv, Bihor, Anul 2006, Numar persoane, 446
Boli ale aparatului digestiv, Bihor, Anul 2007, Numar persoane, 416
Boli ale aparatului digestiv, Bihor, Anul 2008, Numar persoane, 445
Boli ale aparatului digestiv, Bihor, Anul 2009, Numar persoane, 449
Boli ale aparatului digestiv, Bihor, Anul 2010, Numar persoane, 412
Boli ale aparatului digestiv, Bihor, Anul 2011, Numar persoane, 359
Boli ale aparatului digestiv, Bihor, Anul 2012, Numar persoane, 354
Boli ale aparatului digestiv, Bihor, Anul 2013, Numar persoane, 380
Boli ale aparatului digestiv, Bihor, Anul 2014, Numar persoane, 348
Boli ale aparatului digestiv, Bihor, Anul 2015, Numar persoane, 353
Boli ale aparatului digestiv, Bihor, Anul 2016, Numar persoane, 363
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 1990, Numar persoane, 109
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 1991, Numar persoane, 111
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 1992, Numar persoane, 111
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 1993, Numar persoane, 136
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 1994, Numar persoane, 134
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 1995, Numar persoane, 129
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 1996, Numar persoane, 148
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 1997, Numar persoane, 153
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 1998, Numar persoane, 156
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 1999, Numar persoane, 101
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 2000, Numar persoane, 123
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 2001, Numar persoane, 130
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 2002, Numar persoane, 150
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 2003, Numar persoane, 108
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 2004, Numar persoane, 123
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 2005, Numar persoane, 132
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 2006, Numar persoane, 133
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 2007, Numar persoane, 134
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 2008, Numar persoane, 150
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 2009, Numar persoane, 128
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 2010, Numar persoane, 115
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 2011, Numar persoane, 120
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 2012, Numar persoane, 111
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 2013, Numar persoane, 112
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 2014, Numar persoane, 126
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 2015, Numar persoane, 143
Boli ale aparatului digestiv, Bistrita-Nasaud, Anul 2016, Numar persoane, 122
Boli ale aparatului digestiv, Cluj, Anul 1990, Numar persoane, 288
Boli ale aparatului digestiv, Cluj, Anul 1991, Numar persoane, 297
Boli ale aparatului digestiv, Cluj, Anul 1992, Numar persoane, 340
Boli ale aparatului digestiv, Cluj, Anul 1993, Numar persoane, 388
Boli ale aparatului digestiv, Cluj, Anul 1994, Numar persoane, 347
Boli ale aparatului digestiv, Cluj, Anul 1995, Numar persoane, 415
Boli ale aparatului digestiv, Cluj, Anul 1996, Numar persoane, 344
Boli ale aparatului digestiv, Cluj, Anul 1997, Numar persoane, 397
Boli ale aparatului digestiv, Cluj, Anul 1998, Numar persoane, 415
Boli ale aparatului digestiv, Cluj, Anul 1999, Numar persoane, 328
Boli ale aparatului digestiv, Cluj, Anul 2000, Numar persoane, 334
Boli ale aparatului digestiv, Cluj, Anul 2001, Numar persoane, 347
Boli ale aparatului digestiv, Cluj, Anul 2002, Numar persoane, 382
Boli ale aparatului digestiv, Cluj, Anul 2003, Numar persoane, 334
Boli ale aparatului digestiv, Cluj, Anul 2004, Numar persoane, 328
Boli ale aparatului digestiv, Cluj, Anul 2005, Numar persoane, 348
Boli ale aparatului digestiv, Cluj, Anul 2006, Numar persoane, 302
Boli ale aparatului digestiv, Cluj, Anul 2007, Numar persoane, 327
Boli ale aparatului digestiv, Cluj, Anul 2008, Numar persoane, 396
Boli ale aparatului digestiv, Cluj, Anul 2009, Numar persoane, 396
Boli ale aparatului digestiv, Cluj, Anul 2010, Numar persoane, 388
Boli ale aparatului digestiv, Cluj, Anul 2011, Numar persoane, 368
Boli ale aparatului digestiv, Cluj, Anul 2012, Numar persoane, 356
Boli ale aparatului digestiv, Cluj, Anul 2013, Numar persoane, 296
Boli ale aparatului digestiv, Cluj, Anul 2014, Numar persoane, 362
Boli ale aparatului digestiv, Cluj, Anul 2015, Numar persoane, 427
Boli ale aparatului digestiv, Cluj, Anul 2016, Numar persoane, 388
Boli ale aparatului digestiv, Maramures, Anul 1990, Numar persoane, 246
Boli ale aparatului digestiv, Maramures, Anul 1991, Numar persoane, 271
Boli ale aparatului digestiv, Maramures, Anul 1992, Numar persoane, 296
Boli ale aparatului digestiv, Maramures, Anul 1993, Numar persoane, 395
Boli ale aparatului digestiv, Maramures, Anul 1994, Numar persoane, 403
Boli ale aparatului digestiv, Maramures, Anul 1995, Numar persoane, 365
Boli ale aparatului digestiv, Maramures, Anul 1996, Numar persoane, 426
Boli ale aparatului digestiv, Maramures, Anul 1997, Numar persoane, 404
Boli ale aparatului digestiv, Maramures, Anul 1998, Numar persoane, 440
Boli ale aparatului digestiv, Maramures, Anul 1999, Numar persoane, 397
Boli ale aparatului digestiv, Maramures, Anul 2000, Numar persoane, 466
Boli ale aparatului digestiv, Maramures, Anul 2001, Numar persoane, 440
Boli ale aparatului digestiv, Maramures, Anul 2002, Numar persoane, 507
Boli ale aparatului digestiv, Maramures, Anul 2003, Numar persoane, 457
Boli ale aparatului digestiv, Maramures, Anul 2004, Numar persoane, 437
Boli ale aparatului digestiv, Maramures, Anul 2005, Numar persoane, 469
Boli ale aparatului digestiv, Maramures, Anul 2006, Numar persoane, 414
Boli ale aparatului digestiv, Maramures, Anul 2007, Numar persoane, 433
Boli ale aparatului digestiv, Maramures, Anul 2008, Numar persoane, 391
Boli ale aparatului digestiv, Maramures, Anul 2009, Numar persoane, 464
Boli ale aparatului digestiv, Maramures, Anul 2010, Numar persoane, 428
Boli ale aparatului digestiv, Maramures, Anul 2011, Numar persoane, 457
Boli ale aparatului digestiv, Maramures, Anul 2012, Numar persoane, 411
Boli ale aparatului digestiv, Maramures, Anul 2013, Numar persoane, 462
Boli ale aparatului digestiv, Maramures, Anul 2014, Numar persoane, 473
Boli ale aparatului digestiv, Maramures, Anul 2015, Numar persoane, 502
Boli ale aparatului digestiv, Maramures, Anul 2016, Numar persoane, 443
Boli ale aparatului digestiv, Satu Mare, Anul 1990, Numar persoane, 322
Boli ale aparatului digestiv, Satu Mare, Anul 1991, Numar persoane, 362
Boli ale aparatului digestiv, Satu Mare, Anul 1992, Numar persoane, 389
Boli ale aparatului digestiv, Satu Mare, Anul 1993, Numar persoane, 440
Boli ale aparatului digestiv, Satu Mare, Anul 1994, Numar persoane, 452
Boli ale aparatului digestiv, Satu Mare, Anul 1995, Numar persoane, 407
Boli ale aparatului digestiv, Satu Mare, Anul 1996, Numar persoane, 391
Boli ale aparatului digestiv, Satu Mare, Anul 1997, Numar persoane, 409
Boli ale aparatului digestiv, Satu Mare, Anul 1998, Numar persoane, 297
Boli ale aparatului digestiv, Satu Mare, Anul 1999, Numar persoane, 259
Boli ale aparatului digestiv, Satu Mare, Anul 2000, Numar persoane, 333
Boli ale aparatului digestiv, Satu Mare, Anul 2001, Numar persoane, 400
Boli ale aparatului digestiv, Satu Mare, Anul 2002, Numar persoane, 378
Boli ale aparatului digestiv, Satu Mare, Anul 2003, Numar persoane, 407
Boli ale aparatului digestiv, Satu Mare, Anul 2004, Numar persoane, 336
Boli ale aparatului digestiv, Satu Mare, Anul 2005, Numar persoane, 310
Boli ale aparatului digestiv, Satu Mare, Anul 2006, Numar persoane, 285
Boli ale aparatului digestiv, Satu Mare, Anul 2007, Numar persoane, 282
Boli ale aparatului digestiv, Satu Mare, Anul 2008, Numar persoane, 269
Boli ale aparatului digestiv, Satu Mare, Anul 2009, Numar persoane, 280
Boli ale aparatului digestiv, Satu Mare, Anul 2010, Numar persoane, 309
Boli ale aparatului digestiv, Satu Mare, Anul 2011, Numar persoane, 270
Boli ale aparatului digestiv, Satu Mare, Anul 2012, Numar persoane, 226
Boli ale aparatului digestiv, Satu Mare, Anul 2013, Numar persoane, 194
Boli ale aparatului digestiv, Satu Mare, Anul 2014, Numar persoane, 214
Boli ale aparatului digestiv, Satu Mare, Anul 2015, Numar persoane, 262
Boli ale aparatului digestiv, Satu Mare, Anul 2016, Numar persoane, 285
Boli ale aparatului digestiv, Salaj, Anul 1990, Numar persoane, 116
Boli ale aparatului digestiv, Salaj, Anul 1991, Numar persoane, 118
Boli ale aparatului digestiv, Salaj, Anul 1992, Numar persoane, 160
Boli ale aparatului digestiv, Salaj, Anul 1993, Numar persoane, 135
Boli ale aparatului digestiv, Salaj, Anul 1994, Numar persoane, 176
Boli ale aparatului digestiv, Salaj, Anul 1995, Numar persoane, 169
Boli ale aparatului digestiv, Salaj, Anul 1996, Numar persoane, 189
Boli ale aparatului digestiv, Salaj, Anul 1997, Numar persoane, 199
Boli ale aparatului digestiv, Salaj, Anul 1998, Numar persoane, 152
Boli ale aparatului digestiv, Salaj, Anul 1999, Numar persoane, 144
Boli ale aparatului digestiv, Salaj, Anul 2000, Numar persoane, 106
Boli ale aparatului digestiv, Salaj, Anul 2001, Numar persoane, 154
Boli ale aparatului digestiv, Salaj, Anul 2002, Numar persoane, 174
Boli ale aparatului digestiv, Salaj, Anul 2003, Numar persoane, 179
Boli ale aparatului digestiv, Salaj, Anul 2004, Numar persoane, 175
Boli ale aparatului digestiv, Salaj, Anul 2005, Numar persoane, 131
Boli ale aparatului digestiv, Salaj, Anul 2006, Numar persoane, 161
Boli ale aparatului digestiv, Salaj, Anul 2007, Numar persoane, 137
Boli ale aparatului digestiv, Salaj, Anul 2008, Numar persoane, 122
Boli ale aparatului digestiv, Salaj, Anul 2009, Numar persoane, 151
Boli ale aparatului digestiv, Salaj, Anul 2010, Numar persoane, 190
Boli ale aparatului digestiv, Salaj, Anul 2011, Numar persoane, 139
Boli ale aparatului digestiv, Salaj, Anul 2012, Numar persoane, 148
Boli ale aparatului digestiv, Salaj, Anul 2013, Numar persoane, 143
Boli ale aparatului digestiv, Salaj, Anul 2014, Numar persoane, 157
Boli ale aparatului digestiv, Salaj, Anul 2015, Numar persoane, 154
Boli ale aparatului digestiv, Salaj, Anul 2016, Numar persoane, 137
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 1990, Numar persoane, 1019
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 1991, Numar persoane, 1035
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 1992, Numar persoane, 1129
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 1993, Numar persoane, 1301
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 1994, Numar persoane, 1316
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 1995, Numar persoane, 1325
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 1996, Numar persoane, 1349
