
Clasificarea internationala a maladiilor - Revizia a X a 1994, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Cluj, Anul 1994, Numar persoane, 8439
Total, Cluj, Anul 1995, Numar persoane, 8592
Total, Cluj, Anul 1996, Numar persoane, 8686
Total, Cluj, Anul 1997, Numar persoane, 8925
Total, Cluj, Anul 1998, Numar persoane, 8656
Total, Cluj, Anul 1999, Numar persoane, 8388
Total, Cluj, Anul 2000, Numar persoane, 8489
Total, Cluj, Anul 2001, Numar persoane, 8262
Total, Cluj, Anul 2002, Numar persoane, 8546
Total, Cluj, Anul 2003, Numar persoane, 8181
Total, Cluj, Anul 2004, Numar persoane, 8137
Total, Cluj, Anul 2005, Numar persoane, 8363
Total, Cluj, Anul 2006, Numar persoane, 8347
Total, Cluj, Anul 2007, Numar persoane, 7832
Total, Cluj, Anul 2008, Numar persoane, 7735
Total, Cluj, Anul 2009, Numar persoane, 7803
Total, Cluj, Anul 2010, Numar persoane, 7894
Total, Cluj, Anul 2011, Numar persoane, 7766
Total, Cluj, Anul 2012, Numar persoane, 8025
Total, Cluj, Anul 2013, Numar persoane, 7841
Total, Cluj, Anul 2014, Numar persoane, 7877
Total, Cluj, Anul 2015, Numar persoane, 8216
Total, Cluj, Anul 2016, Numar persoane, 7831
Total, Maramures, Anul 1990, Numar persoane, 5489
Total, Maramures, Anul 1991, Numar persoane, 5678
Total, Maramures, Anul 1992, Numar persoane, 6105
Total, Maramures, Anul 1993, Numar persoane, 5931
Total, Maramures, Anul 1994, Numar persoane, 6078
Total, Maramures, Anul 1995, Numar persoane, 5851
Total, Maramures, Anul 1996, Numar persoane, 6143
Total, Maramures, Anul 1997, Numar persoane, 5966
Total, Maramures, Anul 1998, Numar persoane, 6126
Total, Maramures, Anul 1999, Numar persoane, 5915
Total, Maramures, Anul 2000, Numar persoane, 5774
Total, Maramures, Anul 2001, Numar persoane, 5710
Total, Maramures, Anul 2002, Numar persoane, 5918
Total, Maramures, Anul 2003, Numar persoane, 5766
Total, Maramures, Anul 2004, Numar persoane, 5785
Total, Maramures, Anul 2005, Numar persoane, 5790
Total, Maramures, Anul 2006, Numar persoane, 5648
Total, Maramures, Anul 2007, Numar persoane, 5408
Total, Maramures, Anul 2008, Numar persoane, 5277
Total, Maramures, Anul 2009, Numar persoane, 5507
Total, Maramures, Anul 2010, Numar persoane, 5660
Total, Maramures, Anul 2011, Numar persoane, 5310
Total, Maramures, Anul 2012, Numar persoane, 5472
Total, Maramures, Anul 2013, Numar persoane, 5337
Total, Maramures, Anul 2014, Numar persoane, 5562
Total, Maramures, Anul 2015, Numar persoane, 5801
Total, Maramures, Anul 2016, Numar persoane, 5696
Total, Satu Mare, Anul 1990, Numar persoane, 4776
Total, Satu Mare, Anul 1991, Numar persoane, 4933
Total, Satu Mare, Anul 1992, Numar persoane, 5450
Total, Satu Mare, Anul 1993, Numar persoane, 5359
Total, Satu Mare, Anul 1994, Numar persoane, 5552
Total, Satu Mare, Anul 1995, Numar persoane, 5372
Total, Satu Mare, Anul 1996, Numar persoane, 5359
Total, Satu Mare, Anul 1997, Numar persoane, 5417
Total, Satu Mare, Anul 1998, Numar persoane, 5056
Total, Satu Mare, Anul 1999, Numar persoane, 5026
Total, Satu Mare, Anul 2000, Numar persoane, 5001
Total, Satu Mare, Anul 2001, Numar persoane, 5094
Total, Satu Mare, Anul 2002, Numar persoane, 5091
Total, Satu Mare, Anul 2003, Numar persoane, 5148
Total, Satu Mare, Anul 2004, Numar persoane, 5002
Total, Satu Mare, Anul 2005, Numar persoane, 4723
Total, Satu Mare, Anul 2006, Numar persoane, 4627
Total, Satu Mare, Anul 2007, Numar persoane, 4528
Total, Satu Mare, Anul 2008, Numar persoane, 4467
Total, Satu Mare, Anul 2009, Numar persoane, 4594
Total, Satu Mare, Anul 2010, Numar persoane, 4539
Total, Satu Mare, Anul 2011, Numar persoane, 4417
Total, Satu Mare, Anul 2012, Numar persoane, 4221
Total, Satu Mare, Anul 2013, Numar persoane, 4282
Total, Satu Mare, Anul 2014, Numar persoane, 4273
Total, Satu Mare, Anul 2015, Numar persoane, 4458
Total, Satu Mare, Anul 2016, Numar persoane, 4288
Total, Salaj, Anul 1990, Numar persoane, 3390
Total, Salaj, Anul 1991, Numar persoane, 3545
Total, Salaj, Anul 1992, Numar persoane, 3823
Total, Salaj, Anul 1993, Numar persoane, 3842
Total, Salaj, Anul 1994, Numar persoane, 3730
Total, Salaj, Anul 1995, Numar persoane, 3701
Total, Salaj, Anul 1996, Numar persoane, 4002
Total, Salaj, Anul 1997, Numar persoane, 3912
Total, Salaj, Anul 1998, Numar persoane, 3652
Total, Salaj, Anul 1999, Numar persoane, 3547
Total, Salaj, Anul 2000, Numar persoane, 3320
Total, Salaj, Anul 2001, Numar persoane, 3560
Total, Salaj, Anul 2002, Numar persoane, 3509
Total, Salaj, Anul 2003, Numar persoane, 3428
Total, Salaj, Anul 2004, Numar persoane, 3584
Total, Salaj, Anul 2005, Numar persoane, 3405
Total, Salaj, Anul 2006, Numar persoane, 3348
Total, Salaj, Anul 2007, Numar persoane, 3152
Total, Salaj, Anul 2008, Numar persoane, 3115
Total, Salaj, Anul 2009, Numar persoane, 3246
Total, Salaj, Anul 2010, Numar persoane, 3073
Total, Salaj, Anul 2011, Numar persoane, 3037
Total, Salaj, Anul 2012, Numar persoane, 3037
Total, Salaj, Anul 2013, Numar persoane, 3008
